run_id,seed,network_type,N,avg_degree,T,alpha,theta,beta,beneficiary_rule,init_frac_coop,converged,iters_to_conv,final_frac_coop
HRG_T1.10_a0.00_s0,0,HRG,1000,3.998,1.1,0.0,1.0,1.0,nearest,0.5,False,10000,0.207
HRG_T1.10_a0.00_s1,1,HRG,1000,3.998,1.1,0.0,1.0,1.0,nearest,0.5,False,10000,0.232
HRG_T1.10_a0.00_s2,2,HRG,1000,4.0,1.1,0.0,1.0,1.0,nearest,0.5,False,10000,0.233
HRG_T1.10_a0.00_s3,3,HRG,1000,4.0,1.1,0.0,1.0,1.0,nearest,0.5,False,10000,0.225
HRG_T1.10_a0.00_s4,4,HRG,1000,3.998,1.1,0.0,1.0,1.0,nearest,0.5,False,10000,0.209
HRG_T1.10_a0.30_s0,0,HRG,1000,3.998,1.1,0.3,1.0,1.0,nearest,0.5,False,10000,0.314
HRG_T1.10_a0.30_s1,1,HRG,1000,3.998,1.1,0.3,1.0,1.0,nearest,0.5,False,10000,0.316
HRG_T1.10_a0.30_s2,2,HRG,1000,4.0,1.1,0.3,1.0,1.0,nearest,0.5,False,10000,0.319
HRG_T1.10_a0.30_s3,3,HRG,1000,4.0,1.1,0.3,1.0,1.0,nearest,0.5,False,10000,0.342
HRG_T1.10_a0.30_s4,4,HRG,1000,3.998,1.1,0.3,1.0,1.0,nearest,0.5,False,10000,0.318
HRG_T1.10_a0.50_s0,0,HRG,1000,3.998,1.1,0.5,1.0,1.0,nearest,0.5,False,10000,0.402
HRG_T1.10_a0.50_s1,1,HRG,1000,3.998,1.1,0.5,1.0,1.0,nearest,0.5,False,10000,0.364
HRG_T1.10_a0.50_s2,2,HRG,1000,4.0,1.1,0.5,1.0,1.0,nearest,0.5,False,10000,0.367
HRG_T1.10_a0.50_s3,3,HRG,1000,4.0,1.1,0.5,1.0,1.0,nearest,0.5,False,10000,0.37
HRG_T1.10_a0.50_s4,4,HRG,1000,3.998,1.1,0.5,1.0,1.0,nearest,0.5,False,10000,0.373
HRG_T1.10_a0.70_s0,0,HRG,1000,3.998,1.1,0.7,1.0,1.0,nearest,0.5,False,10000,0.418
HRG_T1.10_a0.70_s1,1,HRG,1000,3.998,1.1,0.7,1.0,1.0,nearest,0.5,False,10000,0.465
HRG_T1.10_a0.70_s2,2,HRG,1000,4.0,1.1,0.7,1.0,1.0,nearest,0.5,False,10000,0.435
HRG_T1.10_a0.70_s3,3,HRG,1000,4.0,1.1,0.7,1.0,1.0,nearest,0.5,False,10000,0.44
HRG_T1.10_a0.70_s4,4,HRG,1000,3.998,1.1,0.7,1.0,1.0,nearest,0.5,False,10000,0.47
HRG_T1.10_a0.90_s0,0,HRG,1000,3.998,1.1,0.9,1.0,1.0,nearest,0.5,False,10000,0.56
HRG_T1.10_a0.90_s1,1,HRG,1000,3.998,1.1,0.9,1.0,1.0,nearest,0.5,False,10000,0.602
HRG_T1.10_a0.90_s2,2,HRG,1000,4.0,1.1,0.9,1.0,1.0,nearest,0.5,False,10000,0.608
HRG_T1.10_a0.90_s3,3,HRG,1000,4.0,1.1,0.9,1.0,1.0,nearest,0.5,False,10000,0.57
HRG_T1.10_a0.90_s4,4,HRG,1000,3.998,1.1,0.9,1.0,1.0,nearest,0.5,False,10000,0.562
HRG_T1.20_a0.00_s0,0,HRG,1000,3.998,1.2,0.0,1.0,1.0,nearest,0.5,False,10000,0.104
HRG_T1.20_a0.00_s1,1,HRG,1000,3.998,1.2,0.0,1.0,1.0,nearest,0.5,False,10000,0.148
HRG_T1.20_a0.00_s2,2,HRG,1000,4.0,1.2,0.0,1.0,1.0,nearest,0.5,False,10000,0.138
HRG_T1.20_a0.00_s3,3,HRG,1000,4.0,1.2,0.0,1.0,1.0,nearest,0.5,False,10000,0.138
HRG_T1.20_a0.00_s4,4,HRG,1000,3.998,1.2,0.0,1.0,1.0,nearest,0.5,False,10000,0.126
HRG_T1.20_a0.30_s0,0,HRG,1000,3.998,1.2,0.3,1.0,1.0,nearest,0.5,False,10000,0.191
HRG_T1.20_a0.30_s1,1,HRG,1000,3.998,1.2,0.3,1.0,1.0,nearest,0.5,False,10000,0.213
HRG_T1.20_a0.30_s2,2,HRG,1000,4.0,1.2,0.3,1.0,1.0,nearest,0.5,False,10000,0.227
HRG_T1.20_a0.30_s3,3,HRG,1000,4.0,1.2,0.3,1.0,1.0,nearest,0.5,False,10000,0.209
HRG_T1.20_a0.30_s4,4,HRG,1000,3.998,1.2,0.3,1.0,1.0,nearest,0.5,False,10000,0.185
HRG_T1.20_a0.50_s0,0,HRG,1000,3.998,1.2,0.5,1.0,1.0,nearest,0.5,False,10000,0.237
HRG_T1.20_a0.50_s1,1,HRG,1000,3.998,1.2,0.5,1.0,1.0,nearest,0.5,False,10000,0.259
HRG_T1.20_a0.50_s2,2,HRG,1000,4.0,1.2,0.5,1.0,1.0,nearest,0.5,False,10000,0.263
HRG_T1.20_a0.50_s3,3,HRG,1000,4.0,1.2,0.5,1.0,1.0,nearest,0.5,False,10000,0.275
HRG_T1.20_a0.50_s4,4,HRG,1000,3.998,1.2,0.5,1.0,1.0,nearest,0.5,False,10000,0.289
HRG_T1.20_a0.70_s0,0,HRG,1000,3.998,1.2,0.7,1.0,1.0,nearest,0.5,False,10000,0.367
HRG_T1.20_a0.70_s1,1,HRG,1000,3.998,1.2,0.7,1.0,1.0,nearest,0.5,False,10000,0.399
HRG_T1.20_a0.70_s2,2,HRG,1000,4.0,1.2,0.7,1.0,1.0,nearest,0.5,False,10000,0.382
HRG_T1.20_a0.70_s3,3,HRG,1000,4.0,1.2,0.7,1.0,1.0,nearest,0.5,False,10000,0.376
HRG_T1.20_a0.70_s4,4,HRG,1000,3.998,1.2,0.7,1.0,1.0,nearest,0.5,False,10000,0.351
HRG_T1.20_a0.90_s0,0,HRG,1000,3.998,1.2,0.9,1.0,1.0,nearest,0.5,False,10000,0.545
HRG_T1.20_a0.90_s1,1,HRG,1000,3.998,1.2,0.9,1.0,1.0,nearest,0.5,False,10000,0.588
HRG_T1.20_a0.90_s2,2,HRG,1000,4.0,1.2,0.9,1.0,1.0,nearest,0.5,False,10000,0.598
HRG_T1.20_a0.90_s3,3,HRG,1000,4.0,1.2,0.9,1.0,1.0,nearest,0.5,False,10000,0.557
HRG_T1.20_a0.90_s4,4,HRG,1000,3.998,1.2,0.9,1.0,1.0,nearest,0.5,False,10000,0.556
HRG_T1.30_a0.00_s0,0,HRG,1000,3.998,1.3,0.0,1.0,1.0,nearest,0.5,False,10000,0.068
HRG_T1.30_a0.00_s1,1,HRG,1000,3.998,1.3,0.0,1.0,1.0,nearest,0.5,False,10000,0.081
HRG_T1.30_a0.00_s2,2,HRG,1000,4.0,1.3,0.0,1.0,1.0,nearest,0.5,False,10000,0.093
HRG_T1.30_a0.00_s3,3,HRG,1000,4.0,1.3,0.0,1.0,1.0,nearest,0.5,False,10000,0.064
HRG_T1.30_a0.00_s4,4,HRG,1000,3.998,1.3,0.0,1.0,1.0,nearest,0.5,False,10000,0.081
HRG_T1.30_a0.30_s0,0,HRG,1000,3.998,1.3,0.3,1.0,1.0,nearest,0.5,False,10000,0.098
HRG_T1.30_a0.30_s1,1,HRG,1000,3.998,1.3,0.3,1.0,1.0,nearest,0.5,False,10000,0.168
HRG_T1.30_a0.30_s2,2,HRG,1000,4.0,1.3,0.3,1.0,1.0,nearest,0.5,False,10000,0.159
HRG_T1.30_a0.30_s3,3,HRG,1000,4.0,1.3,0.3,1.0,1.0,nearest,0.5,False,10000,0.137
HRG_T1.30_a0.30_s4,4,HRG,1000,3.998,1.3,0.3,1.0,1.0,nearest,0.5,False,10000,0.13
HRG_T1.30_a0.50_s0,0,HRG,1000,3.998,1.3,0.5,1.0,1.0,nearest,0.5,False,10000,0.145
HRG_T1.30_a0.50_s1,1,HRG,1000,3.998,1.3,0.5,1.0,1.0,nearest,0.5,False,10000,0.211
HRG_T1.30_a0.50_s2,2,HRG,1000,4.0,1.3,0.5,1.0,1.0,nearest,0.5,False,10000,0.192
HRG_T1.30_a0.50_s3,3,HRG,1000,4.0,1.3,0.5,1.0,1.0,nearest,0.5,False,10000,0.213
HRG_T1.30_a0.50_s4,4,HRG,1000,3.998,1.3,0.5,1.0,1.0,nearest,0.5,False,10000,0.185
HRG_T1.30_a0.70_s0,0,HRG,1000,3.998,1.3,0.7,1.0,1.0,nearest,0.5,False,10000,0.336
HRG_T1.30_a0.70_s1,1,HRG,1000,3.998,1.3,0.7,1.0,1.0,nearest,0.5,False,10000,0.333
HRG_T1.30_a0.70_s2,2,HRG,1000,4.0,1.3,0.7,1.0,1.0,nearest,0.5,False,10000,0.313
HRG_T1.30_a0.70_s3,3,HRG,1000,4.0,1.3,0.7,1.0,1.0,nearest,0.5,False,10000,0.31
HRG_T1.30_a0.70_s4,4,HRG,1000,3.998,1.3,0.7,1.0,1.0,nearest,0.5,False,10000,0.305
HRG_T1.30_a0.90_s0,0,HRG,1000,3.998,1.3,0.9,1.0,1.0,nearest,0.5,False,10000,0.506
HRG_T1.30_a0.90_s1,1,HRG,1000,3.998,1.3,0.9,1.0,1.0,nearest,0.5,False,10000,0.585
HRG_T1.30_a0.90_s2,2,HRG,1000,4.0,1.3,0.9,1.0,1.0,nearest,0.5,False,10000,0.578
HRG_T1.30_a0.90_s3,3,HRG,1000,4.0,1.3,0.9,1.0,1.0,nearest,0.5,False,10000,0.538
HRG_T1.30_a0.90_s4,4,HRG,1000,3.998,1.3,0.9,1.0,1.0,nearest,0.5,False,10000,0.551
HRG_T1.40_a0.00_s0,0,HRG,1000,3.998,1.4,0.0,1.0,1.0,nearest,0.5,False,10000,0.032
HRG_T1.40_a0.00_s1,1,HRG,1000,3.998,1.4,0.0,1.0,1.0,nearest,0.5,False,10000,0.059
HRG_T1.10_a0.00_s0,0,HRG,1000,3.998,1.1,0.0,1.0,1.0,nearest,0.5,False,10000,0.207
HRG_T1.10_a0.00_s1,1,HRG,1000,3.998,1.1,0.0,1.0,1.0,nearest,0.5,False,10000,0.232
HRG_T1.10_a0.00_s2,2,HRG,1000,4.0,1.1,0.0,1.0,1.0,nearest,0.5,False,10000,0.233
HRG_T1.10_a0.00_s3,3,HRG,1000,4.0,1.1,0.0,1.0,1.0,nearest,0.5,False,10000,0.225
HRG_T1.10_a0.00_s4,4,HRG,1000,3.998,1.1,0.0,1.0,1.0,nearest,0.5,False,10000,0.209
HRG_T1.10_a0.30_s0,0,HRG,1000,3.998,1.1,0.3,1.0,1.0,nearest,0.5,False,10000,0.314
HRG_T1.10_a0.30_s1,1,HRG,1000,3.998,1.1,0.3,1.0,1.0,nearest,0.5,False,10000,0.316
HRG_T1.10_a0.30_s2,2,HRG,1000,4.0,1.1,0.3,1.0,1.0,nearest,0.5,False,10000,0.319
HRG_T1.10_a0.30_s3,3,HRG,1000,4.0,1.1,0.3,1.0,1.0,nearest,0.5,False,10000,0.342
HRG_T1.10_a0.30_s4,4,HRG,1000,3.998,1.1,0.3,1.0,1.0,nearest,0.5,False,10000,0.318
HRG_T1.10_a0.50_s0,0,HRG,1000,3.998,1.1,0.5,1.0,1.0,nearest,0.5,False,10000,0.402
HRG_T1.10_a0.50_s1,1,HRG,1000,3.998,1.1,0.5,1.0,1.0,nearest,0.5,False,10000,0.364
HRG_T1.10_a0.50_s2,2,HRG,1000,4.0,1.1,0.5,1.0,1.0,nearest,0.5,False,10000,0.367
HRG_T1.10_a0.50_s3,3,HRG,1000,4.0,1.1,0.5,1.0,1.0,nearest,0.5,False,10000,0.37
HRG_T1.10_a0.50_s4,4,HRG,1000,3.998,1.1,0.5,1.0,1.0,nearest,0.5,False,10000,0.373
HRG_T1.10_a0.70_s0,0,HRG,1000,3.998,1.1,0.7,1.0,1.0,nearest,0.5,False,10000,0.418
HRG_T1.10_a0.70_s1,1,HRG,1000,3.998,1.1,0.7,1.0,1.0,nearest,0.5,False,10000,0.465
HRG_T1.10_a0.70_s2,2,HRG,1000,4.0,1.1,0.7,1.0,1.0,nearest,0.5,False,10000,0.435
HRG_T1.10_a0.70_s3,3,HRG,1000,4.0,1.1,0.7,1.0,1.0,nearest,0.5,False,10000,0.44
HRG_T1.10_a0.70_s4,4,HRG,1000,3.998,1.1,0.7,1.0,1.0,nearest,0.5,False,10000,0.47
HRG_T1.10_a0.90_s0,0,HRG,1000,3.998,1.1,0.9,1.0,1.0,nearest,0.5,False,10000,0.56
HRG_T1.10_a0.90_s1,1,HRG,1000,3.998,1.1,0.9,1.0,1.0,nearest,0.5,False,10000,0.602
HRG_T1.10_a0.90_s2,2,HRG,1000,4.0,1.1,0.9,1.0,1.0,nearest,0.5,False,10000,0.608
HRG_T1.10_a0.90_s3,3,HRG,1000,4.0,1.1,0.9,1.0,1.0,nearest,0.5,False,10000,0.57
HRG_T1.10_a0.90_s4,4,HRG,1000,3.998,1.1,0.9,1.0,1.0,nearest,0.5,False,10000,0.562
HRG_T1.20_a0.00_s0,0,HRG,1000,3.998,1.2,0.0,1.0,1.0,nearest,0.5,False,10000,0.104
HRG_T1.20_a0.00_s1,1,HRG,1000,3.998,1.2,0.0,1.0,1.0,nearest,0.5,False,10000,0.148
HRG_T1.20_a0.00_s2,2,HRG,1000,4.0,1.2,0.0,1.0,1.0,nearest,0.5,False,10000,0.138
HRG_T1.20_a0.00_s3,3,HRG,1000,4.0,1.2,0.0,1.0,1.0,nearest,0.5,False,10000,0.138
HRG_T1.20_a0.00_s4,4,HRG,1000,3.998,1.2,0.0,1.0,1.0,nearest,0.5,False,10000,0.126
HRG_T1.20_a0.30_s0,0,HRG,1000,3.998,1.2,0.3,1.0,1.0,nearest,0.5,False,10000,0.191
HRG_T1.20_a0.30_s1,1,HRG,1000,3.998,1.2,0.3,1.0,1.0,nearest,0.5,False,10000,0.213
HRG_T1.20_a0.30_s2,2,HRG,1000,4.0,1.2,0.3,1.0,1.0,nearest,0.5,False,10000,0.227
HRG_T1.20_a0.30_s3,3,HRG,1000,4.0,1.2,0.3,1.0,1.0,nearest,0.5,False,10000,0.209
HRG_T1.20_a0.30_s4,4,HRG,1000,3.998,1.2,0.3,1.0,1.0,nearest,0.5,False,10000,0.185
HRG_T1.20_a0.50_s0,0,HRG,1000,3.998,1.2,0.5,1.0,1.0,nearest,0.5,False,10000,0.237
HRG_T1.20_a0.50_s1,1,HRG,1000,3.998,1.2,0.5,1.0,1.0,nearest,0.5,False,10000,0.259
HRG_T1.20_a0.50_s2,2,HRG,1000,4.0,1.2,0.5,1.0,1.0,nearest,0.5,False,10000,0.263
HRG_T1.20_a0.50_s3,3,HRG,1000,4.0,1.2,0.5,1.0,1.0,nearest,0.5,False,10000,0.275
HRG_T1.20_a0.50_s4,4,HRG,1000,3.998,1.2,0.5,1.0,1.0,nearest,0.5,False,10000,0.289
HRG_T1.20_a0.70_s0,0,HRG,1000,3.998,1.2,0.7,1.0,1.0,nearest,0.5,False,10000,0.367
HRG_T1.20_a0.70_s1,1,HRG,1000,3.998,1.2,0.7,1.0,1.0,nearest,0.5,False,10000,0.399
HRG_T1.20_a0.70_s2,2,HRG,1000,4.0,1.2,0.7,1.0,1.0,nearest,0.5,False,10000,0.382
HRG_T1.20_a0.70_s3,3,HRG,1000,4.0,1.2,0.7,1.0,1.0,nearest,0.5,False,10000,0.376
HRG_T1.20_a0.70_s4,4,HRG,1000,3.998,1.2,0.7,1.0,1.0,nearest,0.5,False,10000,0.351
HRG_T1.20_a0.90_s0,0,HRG,1000,3.998,1.2,0.9,1.0,1.0,nearest,0.5,False,10000,0.545
HRG_T1.20_a0.90_s1,1,HRG,1000,3.998,1.2,0.9,1.0,1.0,nearest,0.5,False,10000,0.588
HRG_T1.20_a0.90_s2,2,HRG,1000,4.0,1.2,0.9,1.0,1.0,nearest,0.5,False,10000,0.598
HRG_T1.20_a0.90_s3,3,HRG,1000,4.0,1.2,0.9,1.0,1.0,nearest,0.5,False,10000,0.557
HRG_T1.20_a0.90_s4,4,HRG,1000,3.998,1.2,0.9,1.0,1.0,nearest,0.5,False,10000,0.556
HRG_T1.30_a0.00_s0,0,HRG,1000,3.998,1.3,0.0,1.0,1.0,nearest,0.5,False,10000,0.068
HRG_T1.30_a0.00_s1,1,HRG,1000,3.998,1.3,0.0,1.0,1.0,nearest,0.5,False,10000,0.081
HRG_T1.30_a0.00_s2,2,HRG,1000,4.0,1.3,0.0,1.0,1.0,nearest,0.5,False,10000,0.093
HRG_T1.30_a0.00_s3,3,HRG,1000,4.0,1.3,0.0,1.0,1.0,nearest,0.5,False,10000,0.064
HRG_T1.30_a0.00_s4,4,HRG,1000,3.998,1.3,0.0,1.0,1.0,nearest,0.5,False,10000,0.081
HRG_T1.30_a0.30_s0,0,HRG,1000,3.998,1.3,0.3,1.0,1.0,nearest,0.5,False,10000,0.098
HRG_T1.30_a0.30_s1,1,HRG,1000,3.998,1.3,0.3,1.0,1.0,nearest,0.5,False,10000,0.168
HRG_T1.30_a0.30_s2,2,HRG,1000,4.0,1.3,0.3,1.0,1.0,nearest,0.5,False,10000,0.159
HRG_T1.30_a0.30_s3,3,HRG,1000,4.0,1.3,0.3,1.0,1.0,nearest,0.5,False,10000,0.137
HRG_T1.30_a0.30_s4,4,HRG,1000,3.998,1.3,0.3,1.0,1.0,nearest,0.5,False,10000,0.13
HRG_T1.30_a0.50_s0,0,HRG,1000,3.998,1.3,0.5,1.0,1.0,nearest,0.5,False,10000,0.145
HRG_T1.30_a0.50_s1,1,HRG,1000,3.998,1.3,0.5,1.0,1.0,nearest,0.5,False,10000,0.211
HRG_T1.30_a0.50_s2,2,HRG,1000,4.0,1.3,0.5,1.0,1.0,nearest,0.5,False,10000,0.192
HRG_T1.30_a0.50_s3,3,HRG,1000,4.0,1.3,0.5,1.0,1.0,nearest,0.5,False,10000,0.213
HRG_T1.30_a0.50_s4,4,HRG,1000,3.998,1.3,0.5,1.0,1.0,nearest,0.5,False,10000,0.185
HRG_T1.30_a0.70_s0,0,HRG,1000,3.998,1.3,0.7,1.0,1.0,nearest,0.5,False,10000,0.336
HRG_T1.30_a0.70_s1,1,HRG,1000,3.998,1.3,0.7,1.0,1.0,nearest,0.5,False,10000,0.333
HRG_T1.30_a0.70_s2,2,HRG,1000,4.0,1.3,0.7,1.0,1.0,nearest,0.5,False,10000,0.313
HRG_T1.30_a0.70_s3,3,HRG,1000,4.0,1.3,0.7,1.0,1.0,nearest,0.5,False,10000,0.31
HRG_T1.30_a0.70_s4,4,HRG,1000,3.998,1.3,0.7,1.0,1.0,nearest,0.5,False,10000,0.305
HRG_T1.30_a0.90_s0,0,HRG,1000,3.998,1.3,0.9,1.0,1.0,nearest,0.5,False,10000,0.506
HRG_T1.30_a0.90_s1,1,HRG,1000,3.998,1.3,0.9,1.0,1.0,nearest,0.5,False,10000,0.585
HRG_T1.30_a0.90_s2,2,HRG,1000,4.0,1.3,0.9,1.0,1.0,nearest,0.5,False,10000,0.578
HRG_T1.30_a0.90_s3,3,HRG,1000,4.0,1.3,0.9,1.0,1.0,nearest,0.5,False,10000,0.538
HRG_T1.30_a0.90_s4,4,HRG,1000,3.998,1.3,0.9,1.0,1.0,nearest,0.5,False,10000,0.551
HRG_T1.40_a0.00_s0,0,HRG,1000,3.998,1.4,0.0,1.0,1.0,nearest,0.5,False,10000,0.032
HRG_T1.40_a0.00_s1,1,HRG,1000,3.998,1.4,0.0,1.0,1.0,nearest,0.5,False,10000,0.059
HRG_T1.40_a0.00_s2,2,HRG,1000,4.0,1.4,0.0,1.0,1.0,nearest,0.5,False,10000,0.067
HRG_T1.40_a0.00_s3,3,HRG,1000,4.0,1.4,0.0,1.0,1.0,nearest,0.5,False,10000,0.051
HRG_T1.40_a0.00_s4,4,HRG,1000,3.998,1.4,0.0,1.0,1.0,nearest,0.5,False,10000,0.057
HRG_T1.40_a0.30_s0,0,HRG,1000,3.998,1.4,0.3,1.0,1.0,nearest,0.5,False,10000,0.085
HRG_T1.40_a0.30_s1,1,HRG,1000,3.998,1.4,0.3,1.0,1.0,nearest,0.5,False,10000,0.094
HRG_T1.40_a0.30_s2,2,HRG,1000,4.0,1.4,0.3,1.0,1.0,nearest,0.5,False,10000,0.095
HRG_T1.40_a0.30_s3,3,HRG,1000,4.0,1.4,0.3,1.0,1.0,nearest,0.5,False,10000,0.079
HRG_T1.40_a0.30_s4,4,HRG,1000,3.998,1.4,0.3,1.0,1.0,nearest,0.5,False,10000,0.088
HRG_T1.40_a0.50_s0,0,HRG,1000,3.998,1.4,0.5,1.0,1.0,nearest,0.5,False,10000,0.13
HRG_T1.40_a0.50_s1,1,HRG,1000,3.998,1.4,0.5,1.0,1.0,nearest,0.5,False,10000,0.154
